Temp_F,20in,21in,22in,23in,24in,25in,26in,27in,28in,29in,30in
0,-0.054,-0.056,-0.059,-0.062,-0.064,-0.067,-0.070,-0.072,-0.075,-0.078,-0.08
5,-0.053,-0.055,-0.058,-0.061,-0.063,-0.066,-0.069,-0.071,-0.074,-0.077,-0.079
10,-0.050,-0.053,-0.055,-0.058,-0.06,-0.063,-0.066,-0.068,-0.071,-0.073,-0.076
15,-0.047,-0.049,-0.051,-0.053,-0.056,-0.058,-0.06,-0.063,-0.065,-0.067,-0.07
20,-0.041,-0.043,-0.045,-0.047,-0.05,-0.052,-0.054,-0.056,-0.058,-0.06,-0.062
25,-0.035,-0.037,-0.038,-0.04,0.042,-0.043,-0.045,-0.047,-0.049,-0.05,-0.052
30,-0.027,-0.029,-0.03,-0.031,-0.031,-0.034,-0.035,-0.037,-0.038,-0.04,-0.036
32,-0.024,-0.025,-0.026,-0.028,-0.029,-0.03,-0.031,-0.032,-0.0341,-0.035,-0.041
34,-0.021,-0.022,-0.023,-0.024,-0.025,-0.026,-0.027,-0.028,-0.029,-0.03,-0.031
36,-0.017,-0.018,-0.019,-0.02,-0.021,-0.022,-0.022,-0.023,-0.024,-0.025,-0.026
38,-0.014,-0.014,-0.015,-0.016,-0.016,-0.017,-0.018,-0.018,-0.019,-0.02,-0.02
40,-0.010,-0.011,-0.011,-0.012,-0.012,-0.013,-0.013,-0.014,-0.014,-0.015,-0.015
42,-0.006,-0.007,-0.007,-0.007,-0.008,-0.008,-0.008,-0.009,-0.009,-0.009,-0.01
44,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.004,-0.004,-0.004,-0.004,-0.004
46,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
48,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.007,0.007
50,0.008,0.009,0.009,0.01,0.01,0.01,0.011,0.011,0.012,0.012,0.012
55,0.017,0.018,0.019,0.02,0.021,0.021,0.022,0.023,0.024,0.025,0.026
60,0.026,0.027,0.028,0.029,0.031,0.032,0.033,0.034,0.036,0.037,0.038
65,0.033,0.035,0.036,0.038,0.04,0.041,0.043,0.045,0.046,0.048,0.05
70,0.04,0.042,0.044,0.046,0.048,0.05,0.052,0.053,0.055,0.057,0.059
75,0.045,0.047,0.049,0.052,0.054,0.056,0.058,0.061,0.063,0.065,0.067
80,0.049,0.051,0.054,0.056,0.059,0.061,0.063,0.066,0.068,0.071,0.073
85,0.051,0.054,0.056,0.059,0.061,0.064,0.067,0.069,0.072,0.074,0.077
90,0.052,0.055,0.057,0.06,0.062,0.065,0.068,0.07,0.073,0.075,0.078
