Temp_F,20in,21in,22in,23in,24in,25in,26in,27in,28in,29in,30in,31in
60,0.057,0.060,0.062,0.065,0.068,0.071,0.074,0.077,0.080,0.082,0.085,0.088
62,0.060,0.063,0.066,0.069,0.073,0.076,0.079,0.082,0.085,0.088,0.091,0.094
64,0.064,0.067,0.070,0.074,0.077,0.080,0.083,0.086,0.090,0.093,0.096,0.099
66,0.068,0.071,0.074,0.078,0.081,0.085,0.088,0.091,0.095,0.098,0.101,0.105
68,0.071,0.075,0.078,0.082,0.085,0.089,0.093,0.096,0.100,0.103,0.107,0.110
70,0.075,0.078,0.082,0.086,0.090,0.094,0.097,0.101,0.103,0.109,0.112,0.116
72,0.078,0.082,0.086,0.090,0.094,0.098,0.102,0.106,0.110,0.114,0.118,0.122
74,0.082,0.086,0.090,0.094,0.098,0.103,0.107,0.111,0.115,0.119,0.123,0.127
76,0.086,0.090,0.094,0.098,0.103,0.107,0.111,0.116,0.120,0.124,0.128,0.133
78,0.089,0.094,0.098,0.103,0.107,0.112,0.116,0.120,0.125,0.129,0.134,0.138
80,0.093,0.097,0.102,0.107,0.111,0.116,0.121,0.125,0.130,0.135,0.139,0.144
82,0.096,0.101,0.106,0.111,0.116,0.121,0.125,0.130,0.135,0.140,0.145,0.149
84,0.100,0.105,0.110,0.115,0.120,0.125,0.130,0.135,0.140,0.145,0.150,0.155
86,0.104,0.109,0.114,0.119,0.124,0.130,0.135,0.140,0.145,0.150,0.155,0.161
88,0.107,0.113,0.118,0.123,0.129,0.134,0.139,0.145,0.150,0.155,0.161,0.166
90,0.111,0.116,0.122,0.127,0.133,0.138,0.144,0.150,0.155,0.161,0.166,0.172
92,0.114,0.120,0.126,0.132,0.137,0.143,0.149,0.154,0.160,0.166,0.172,0.177
94,0.118,0.124,0.130,0.136,0.142,0.147,0.153,0.159,0.165,0.171,0.177,0.183
96,0.122,0.128,0.134,0.140,0.146,0.152,0.158,0.164,0.170,0.176,0.182,0.188
98,0.125,0.131,0.138,0.144,0.150,0.156,0.163,0.169,0.175,0.181,0.188,0.194
100,0.129,0.135,0.142,0.148,0.154,0.161,0.167,0.174,0.180,0.187,0.193,0.200
